Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,Store State
OD1,Harish,Oil & Masala,Masalas,Vellore,08-11-2017,South,"? 1,254.00",12.00%,? 401.28,Tamil Nadu
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,08-11-2017,South,? 749.00,18.00%,? 149.80,Tamil Nadu
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,12-06-2017,South,"? 2,360.00",21.00%,? 165.20,Tamil Nadu
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,11-10-2016,South,? 896.00,25.00%,? 89.60,Tamil Nadu
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,11-10-2016,South,"? 2,355.00",26.00%,? 918.45,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,09-06-2015,South,"? 2,305.00",26.00%,? 322.70,Tamil Nadu
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,09-06-2015,South,? 826.00,33.00%,? 346.92,Tamil Nadu
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,09-06-2015,South,"? 1,847.00",32.00%,? 147.76,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,09-06-2015,South,? 791.00,23.00%,? 181.93,Tamil Nadu
OD10,Krithika,Bakery,Cakes,Chennai,09-06-2015,South,"? 1,795.00",27.00%,? 484.65,Tamil Nadu
OD11,Ganesh,Snacks,Chocolates,Karur,09-06-2015,South,"? 1,903.00",13.00%,? 437.69,Tamil Nadu
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,09-06-2015,South,? 701.00,10.00%,? 308.44,Tamil Nadu
OD13,Sharon,Snacks,Cookies,Dindigul,15-04-2018,South,"? 1,659.00",19.00%,? 315.21,Tamil Nadu
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,05-12-2017,South,"? 1,277.00",25.00%,? 63.85,Tamil Nadu
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,22-11-2016,South,? 831.00,22.00%,? 207.75,Tamil Nadu
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,22-11-2016,South,"? 1,440.00",11.00%,? 100.80,Tamil Nadu
OD17,Alan,Bakery,Cakes,Dharmapuri,11-11-2015,South,"? 1,678.00",28.00%,? 318.82,Tamil Nadu
OD18,Arutra,Beverages,Health Drinks,Bodi,13-05-2015,South,"? 1,617.00",19.00%,? 113.19,Tamil Nadu
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,27-08-2015,South,"? 1,757.00",35.00%,? 386.54,Tamil Nadu
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,27-08-2015,South,? 692.00,29.00%,? 159.16,Tamil Nadu
OD21,Hafiz,Beverages,Health Drinks,Vellore,27-08-2015,South,? 522.00,19.00%,? 208.80,Tamil Nadu
OD22,Alan,Food Grains,Dals & Pulses,Karur,09-12-2017,South,? 948.00,13.00%,? 47.40,Tamil Nadu
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,09-12-2017,South,? 707.00,34.00%,? 148.47,Tamil Nadu
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,16-07-2018,South,? 969.00,29.00%,? 77.52,Tamil Nadu
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,25-09-2016,South,"? 1,100.00",11.00%,? 495.00,Tamil Nadu
OD26,Krithika,Snacks,Chocolates,Tirunelveli,16-01-2017,South,"? 2,022.00",11.00%,? 202.20,Tamil Nadu
OD27,Muneer,Snacks,Cookies,Trichy,16-01-2017,South,? 541.00,12.00%,? 43.28,Tamil Nadu
OD28,Jackson,Bakery,Biscuits,Viluppuram,17-09-2016,South,? 979.00,22.00%,? 401.39,Tamil Nadu
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,17-09-2016,South,"? 1,988.00",22.00%,? 874.72,Tamil Nadu
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,17-09-2016,South,? 989.00,17.00%,? 69.23,Tamil Nadu
